_ doesn’t count as cheating.,1
_. A sure-fire cure for the seven-year itch.,1
_. A wedding gift you’ll cherish forever.,1
_: grounds for divorce in all 50 states.,1
A healthy long-term sex life is built on _.,1
"Along with something borrowed and something blue, be sure to take _ with you down the aisle.",1
Being married means having the freedom to embrace _.,1
"Between the champagne toast and the cake-cutting, there was _.",1
Consider including _ in your vows.,1
Every wedding toast should include at least one mention of _.,1
"First comes love, then comes marriage, then comes _.",1
How did you celebrate your first anniversary?,1
"If you like it, then you should put _ on it.",1
"In a committed adult relationship, _ goes a long way.",1
"In a marriage, whatever the question is, the answer is always _.",1
"Instead of a garter toss, try _.",1
"It’s not _ that puts strain on a relationship, it’s _.",2
It’s trendy to include _ in your wedding these days.,1
"Love is patient, love is kind. Love is _.",1
Make sure you have _ and the rest will take care of itself.,1
"Marriage is a lot of work, which mainly consists of _.",1
Marriage: the end of _ and the beginning of _.,2
Nothing gets a wedding reception fired up like _.,1
Nothing says “fulfilling life-long commitment” like _.,1
She’s not just my wife. She’s also _.,1
Studies show that married people are much more likely than single people to have _.,1
The ceremony ended with _.,1
The couple has a wonderful life filled with _ ahead of them.,1
"The first five years are the hardest. After that, it’s all _.",1
The first issue the couple tackles in marriage counseling will be _.,1
The only thing worse than _ at a wedding is _.,2
The proposal featured _.,1
The wedding cake was shaped like _.,1
The word “husband” comes from the Latin word for _.,1
Their first fight as a married couple was about _.,1
There’s nothing more romantic than _.,1
True love means _.,1
What did the rehearsal dinner taste like?,1
What saved your marriage?,1
What should every couple incorporate into their first dance?,1
What the fuck is your problem?,1
What unique detail did the bride’s dress include?,1
What was the happiest memory from the honeymoon?,1
What was your favorite wedding photo of?,1
What will be the best thing about the couple’s married sex life?,1
What will the groom think of when he first sees the bride on their wedding day?,1
What's the most common obstacle to consummating a marriage on one's wedding night?,1
What’s a favorite pastime of the family you’re marrying into?,1
What’s a sure sign of a healthy marriage?,1
What’s the #1 cause of wedding day jitters?,1
What’s the best way to spice up your marriage after years of monotony?,1
What’s the couple’s favorite shared hobby?,1
What’s the groom hiding in his underwear?,1
What’s the only thing sexier than confidence?,1
What’s the secret to a long and happy marriage?,1
